السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,3,الربع الثالث,20243,الرياض,الرياض,الشميسي,فيلا,21,14656400,2757.72,4939.578694,5911.21,3571.43
2024,3,الربع الثالث,20243,الرياض,الرياض,العارض,فيلا,209,483966010.6,65347.832,7477.886126,9809.632591,6100
2024,3,الربع الثالث,20243,الرياض,الرياض,السويدي,فيلا,88,87228130.51,32947.77,2357.075502,4202.38,1840
2024,3,الربع الثالث,20243,الرياض,الرياض,العقيق,فيلا,12,67550000,6916.4,9042.405023,12500,7500
2024,3,الربع الثالث,20243,الرياض,الرياض,المحمدية,فيلا,12,58031035,4639.79,13882.59265,16000,9777.777778
2024,3,الربع الثالث,20243,الرياض,الرياض,المرسلات,فيلا,4,21610000,3134.4,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الضباط,فيلا,15,44341000,7405.55,4815.997311,6000,3985.51
2024,3,الربع الثالث,20243,الرياض,الرياض,العريجاء الغربي,فيلا,24,22805940,7350.05,2939.079991,4750,2087.5
2024,3,الربع الثالث,20243,الرياض,الرياض,القدس,فيلا,20,60444140,8272.4,6409.598452,8641.25,5611.111111
2024,3,الربع الثالث,20243,الرياض,الرياض,الصفا,فيلا,55,103887300,17618.36,5411.984744,8875,4600
2024,3,الربع الثالث,20243,الرياض,الرياض,السويدي الغربي,فيلا,34,32279513,9129.947,3380.084561,4764.43,2320
2024,3,الربع الثالث,20243,الرياض,الرياض,العوالي,فيلا,22,25442000,5813.85,4587.573059,4947.68,4215.8
2024,3,الربع الثالث,20243,الرياض,الرياض,العريجاء,فيلا,29,24336327,6063.86,4069.233339,4248.25,3857.61
2024,3,الربع الثالث,20243,الرياض,الرياض,العريجاء الأوسط,فيلا,8,6595000,2218.14,3003.607757,3776.27,2620.72
2024,3,الربع الثالث,20243,الرياض,الرياض,العليا,فيلا,50,247476960,23835.26,8545.131233,14050.56,6312.38
2024,3,الربع الثالث,20243,الرياض,الرياض,المدينة الصناعية الجديدة,فيلا,2,4395000,3000,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,المعيزيلة,فيلا,8,8401049.38,1683.56,4340.241288,5144.2,2982.23
2024,3,الربع الثالث,20243,الرياض,الرياض,الملقا,فيلا,109,1033647712,86173.937,11882.87983,16875,9375
2024,3,الربع الثالث,20243,الرياض,الرياض,العزيزية,فيلا,103,71567233.02,20846.53,3401.061236,3878.74,2950.39
2024,3,الربع الثالث,20243,الرياض,الرياض,الغنامية,فيلا,37,48032279.2,34161.17,1196.894476,1800.37,779.22
2024,3,الربع الثالث,20243,الرياض,الرياض,المربع,فيلا,2,18600000,4350,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,المروج,فيلا,4,12300000,1478.91,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,القادسية,فيلا,49,76093388,14409.65,5558.942541,6275.3,4198.27
2024,3,الربع الثالث,20243,الرياض,الرياض,المروة,فيلا,3,3250000,1238.64,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الملز,فيلا,26,64997553.56,11647.19,5585.343863,7840,3454.55
2024,3,الربع الثالث,20243,الرياض,الرياض,النرجس,فيلا,404,1514597081,154017.3257,10071.12545,12640,7500
2024,3,الربع الثالث,20243,الرياض,الرياض,الغدير,فيلا,3,15197000,1709.6,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,المصيف,فيلا,15,52375921,7616.67,6646.857877,7804.47,6100
2024,3,الربع الثالث,20243,الرياض,الرياض,الملك فهد,فيلا,26,74248518.69,11964.74,6119.998946,7807.5,4500
2024,3,الربع الثالث,20243,الرياض,الرياض,الملك عبدالله,فيلا,2,7689000,1554,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,المنصورة (خنشليلة),فيلا,5,4532000,1058.73,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,القيروان,فيلا,27,94767223,9615.44,10010.63274,13182.6742,8100
2024,3,الربع الثالث,20243,الرياض,الرياض,المعذر,فيلا,2,3425000,402.16,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,النفل,فيلا,8,19070627.27,2311.78,7832.911983,10289.48,7038.461538
2024,3,الربع الثالث,20243,الرياض,الرياض,النموذجية,فيلا,2,6350000,1376.5,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الياسمين,فيلا,109,925003495.9,60591.436,9227.72716,13214.29,7458.72
2024,3,الربع الثالث,20243,الرياض,الرياض,المونسية,فيلا,99,202264964.8,28769.41,7289.553221,8400,5726.07
2024,3,الربع الثالث,20243,الرياض,الرياض,الندى,فيلا,9,33136000,4044,10596.62776,11700,9156.626506
2024,3,الربع الثالث,20243,الرياض,الرياض,النسيم الغربي,فيلا,22,24298307,6322.23,4513.287597,5131.36,3610.63
2024,3,الربع الثالث,20243,الرياض,الرياض,الورود,فيلا,29,185580433.6,20421.9565,8668.825945,10791.37,7500
2024,3,الربع الثالث,20243,الرياض,الرياض,الوشام,فيلا,1,500000,268,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الملك سلمان,فيلا,1,2200000,315,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الندوة,فيلا,1,895000,143.88,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,النظيم,فيلا,21,32473682.13,8099.405,3829.248379,4468.67,3340.08
2024,3,الربع الثالث,20243,الرياض,الرياض,الملك فيصل,فيلا,14,23566111.52,4068.195,6154.878317,7933.33,4547.82
2024,3,الربع الثالث,20243,الرياض,الرياض,المهدية,فيلا,186,362124724.3,72252.651,4767.714323,6388.888889,3846.15
2024,3,الربع الثالث,20243,الرياض,الرياض,النخبة,فيلا,1,400000,936,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,النزهة,فيلا,15,71403840,8358.75,8594.96509,9050,7351.726417
2024,3,الربع الثالث,20243,الرياض,الرياض,بدر,فيلا,738,593769393.8,183945.615,3375.221037,3919.37,2775.94
2024,3,الربع الثالث,20243,الرياض,الرياض,سلطانة,فيلا,7,5195000,1430.24,4086.571705,4827.81,3265.91
2024,3,الربع الثالث,20243,الرياض,الرياض,النخيل,فيلا,31,429880646.7,26442.3,13528.74422,17500,12474.29
2024,3,الربع الثالث,20243,الرياض,الرياض,الوادي,فيلا,7,15218000,1882.71,9096.542434,10880,8280.51
2024,3,الربع الثالث,20243,الرياض,الرياض,اليرموك,فيلا,36,76618294,14368.12,5621.140854,7800,5066.67
2024,3,الربع الثالث,20243,الرياض,الرياض,ديراب,فيلا,3,2148850,703.03,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,شبرا,فيلا,6,6330000,2156.35,2704.278676,3000.21,2400
2024,3,الربع الثالث,20243,الرياض,الرياض,المنار,فيلا,14,30560600,6125.14,4726.583345,7203.3,4277.78
2024,3,الربع الثالث,20243,الرياض,الرياض,النسيم الشرقي,فيلا,4,3926562,872.14,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,ضاحية نمار,فيلا,619,568799016.5,310581.7792,1636.901461,2341.6,1388.89
