السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,3,الربع الثالث,الرياض,الرياض,العريجاء الغربي,شقة,سكني,1,600000,126.15,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,ضاحية نمار,دوبلكس,سكني,1,1200000,299.33,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الزلفي,عريعرة,أرض,سكني,3,1960000,1418,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الخرج,الورود,شقة,سكني,2,1050000,404.55,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,العقيق,شقة,سكني,4,6119000,523.69,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الخرج,الورود,أرض,تجاري,3,1530000,1800,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الروابي,شقة,سكني,2,1890000,277.28,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المهدية,مبنى,تجاري,2,3771470,1350,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الورود,أرض,تجاري,1,4500000,418.16,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المصفاة,فيلا,سكني,5,37596736,15224.85,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الصالحية,أرض,سكني,1,220000,120.86,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الورود,فيلا,سكني,1,60000000,1350,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المرجان,فيلا,سكني,1,1965000,288,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الخرج,الرفيعة في الهياثم,أرض,سكني,2,641640,1343.28,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الفيصلية,مبنى,تجاري,2,5973498,2296,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الخرج,السهباء,أرض,سكني,1,160000,395.8,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,النسيم الشرقي,فيلا,سكني,3,3777425,1378,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الحائر,أرض,سكني,3,400000,1810.95,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الدار البيضاء,أرض,تجاري,5,11949590,3753.44,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الفيصلية,أرض,سكني,5,10518000,4611,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,العريجاء الأوسط,دوبلكس,سكني,1,1100000,200,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الجرادية,أرض,تجاري,1,1489000,1489.68,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الغاط,أخرى,أرض,سكني,1,52000,630,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الحائر,فيلا,سكني,3,2241978.07,1966.52,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المعيزيلة,أرض,تجاري,1,30862117,5768.62,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الغاط,المستقبل,أرض,سكني,1,100000,630,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الملك فهد,أخرى,سكني,1,9500000,1172.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,أخرى,أرض,تجاري,3,7097588,1793,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,حطين,فيلا,سكني,2,9733333.33,1134.43,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الجزيرة,أرض,سكني,2,3619000,968,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الخرج,أخرى,أخرى,أخرى,4,650000,550.49,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الزلفي,الدرعية,أرض,سكني,1,80000,373.06,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,مغرزات,فيلا,سكني,2,12312500,1450,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الوادي,دور,سكني,1,1870000,291.97,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المروة,فيلا,سكني,3,2950000,1553.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,العارض,مبنى,تجاري,1,2625000,420,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الخالدية,فيلا,سكني,4,2350000,1925,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,قرطبة,أرض,سكني,3,56593505,7882.75,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,أخرى,دور,سكني,5,5887890,1024.74,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الصناعية,مبنى,تجاري,3,12350000,1632,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المناخ,أرض,تجاري,2,2875000,1250,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,النرجس,مبنى,تجاري,1,8100000,900,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الزلفي,علقة,أرض,تجاري,1,239821.5,274.17,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,القيروان,أرض,تجاري,5,86255000,6200.14,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الروضة,أرض,تجاري,1,37719656,4774.64,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الخرج,السهباء,أخرى,أخرى,1,170000,1022,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,المجمعة,الفيحاء,أرض,سكني,1,10000,630,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الزلفي,السلام,أرض,سكني,4,862000,2369.34,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,العريجاء الغربي,دوبلكس,سكني,2,2550000,535.15,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,عرقة,أرض,زراعي,1,113670000,15156,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,السلام,دور,سكني,3,2681000,710.81,NULL,NULL,NULL
