name,lat,lon,capacity
98 St & 41 Ave,40.74773,-73.86649,22
3 St & Prospect Park West,40.668132,-73.97363831,31
Grand Concourse & E 199 St,40.87142,-73.88839,21
Sunken Meadow Comfort Station,40.79558,-73.91906,25
68 St & 4 Ave,40.63537,-74.02342,16
55 Ave & 97 Pl,40.73892,-73.86367,19
Goble Pl & Macombs Rd,40.844075,-73.917256,19
Walker St & Baxter St,40.717411,-73.999573,47
W 21 St & 6 Ave,40.74173969,-73.99415556,74
Bedford Park Blvd & Paul Ave,40.87444,-73.89186,24
Crescent St & 35 Ave,40.7596276,-73.9321455,25
60 Ave & Fresh Pond Rd,40.71693,-73.90198,19
E 165 St & Fox St,40.82394,-73.894025,27
W 37 St & 10 Ave,40.75660359,-73.9979009,39
St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,31
Broadway & Berry St,40.71036129922581,-73.96530389785767,34
E 56 St & Madison Ave,40.761573,-73.972628,33
Caton Ave & E 10 St,40.648481,-73.97058,30
Stanton St & Norfolk St,40.720747,-73.986274,49
Morris Ave & E 163 St,40.827230499624726,-73.91765579597632,21
68 St & 5 Ave,40.63416,-74.02058,14
Columbia St & Degraw St,40.6859296,-74.00242364,21
E 53 St & 3 Ave,40.75763227739443,-73.96930575370789,41
Dean St & Rockaway Ave,40.67486,-73.91123,21
E 138 St & Park Ave,40.81263616769319,-73.92924964427948,21
53 St & 2 Ave,40.64744,-74.018846,30
64 St & 53 Dr,40.72897,-73.90115,19
Prospect Pl & Vanderbilt Ave,40.67767534,-73.96902144,27
Morris Ave & E 142 St,40.814469,-73.924963,23
India St & Manhattan Ave,40.73232194,-73.9550858,50
Park Ave & E 124 St,40.8045555,-73.9396861,36
E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,36
E 189 St & Bathgate Ave,40.85859,-73.88821,21
Hart St & Wyckoff Ave,40.704876,-73.919911,24
Sherman Ave & Thayer St,40.863124,-73.926994,21
Carlton Ave & Dean St,40.6809741,-73.9710097,29
Cherry St,40.71219906,-73.97948148,36
Grand St & Elizabeth St,40.718822,-73.99596,45
Stanton St & Mangin St,40.71782143,-73.97628939,19
Parkside Ave & Flatbush Ave,40.65563,-73.95968,25
Central Park W & W 72 St,40.77579376683666,-73.9762057363987,48
111 St & Roosevelt Ave,40.75147,-73.8557,21
N 7 St & Driggs Ave,40.716967,-73.956388,53
Amsterdam Ave & W 162 St,40.83618,-73.939789,27
Brook Ave & E 141 St,40.809619,-73.917875,19
Eastern Pkwy & Ralph Ave,40.66852,-73.92284,21
E 95 St & 3 Ave,40.7849032,-73.950503,31
Greenwich Ave & Charles St,40.735238,-74.000271,57
Suydam St & St Nicholas Ave,40.70636,-73.91945,17
E 16 St & Cortelyou Rd,40.64173,-73.96364,26
Ogden Ave & Merriam Ave,40.839142,-73.925961,19
Amsterdam Ave & W 180 St,40.847396,-73.931205,23
E 184 St & 3 Ave,40.85472,-73.89022,19
E Gun Hill Rd & Tryon Ave,40.8802,-73.87697,21
Central Ave & Starr St,40.700003,-73.92834,23
E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,48
Fort Hamilton Pkwy & E 5 St,40.649037,-73.97673,23
Carroll St & 5 Ave,40.6751622,-73.9814832,27
Ave C & McDonald Ave,40.6403436,-73.9791522,16
Franklin St & Dupont St,40.73564,-73.95866,27
Borden Ave & Review Ave,40.73866345465306,-73.94093804061413,19
Division Ave & Marcy Ave,40.70708701,-73.95796783,33
Prospect Pl & Underhill Ave,40.6769694,-73.96579,23
Macombs Rd & W 175 St,40.848177,-73.916082,20
Madison St & Evergreen Ave,40.69122,-73.91693,18
Lee Ave & Taylor St,40.706732,-73.961241,25
52 St & 6 Ave,40.642703,-74.009441,19
41 Ave & 77 St,40.74557,-73.8882,24
86 St & Ridge Blvd,40.62402,-74.03396,16
Columbia St & Lorraine St,40.6747055,-74.0075572,37
Rivington St & Ridge St,40.71850211,-73.98329859,61
65 St & Broadway,40.749372273899596,-73.89738768339157,18
Naples Terrace & Godwin Terrace,40.87995,-73.90536,25
President St & Nostrand Ave,40.66811,-73.9505,28
Melrose Ave & E 150 St,40.816827,-73.917338,31
W 54 St & 9 Ave,40.76604,-73.98737,44
