index,servicecode,service,servicear,sectorgeorrcode,submunrrcode,submunrr,submunrrar,districtcode,district,districtar,parcel_area,plotarea_m2,comments,commentsar,lat,lon
36,050655140028,Doomi doo,دومي دو,2.0,05,SHIMAL-Al-Riyadh,شمال الرياض,0506,AR-RABI,الربيع,1423.0,1423.0,,,24.79329255,46.65333764
37,050755140009,AVATAR,أفاتار للترفية,2.0,05,SHIMAL-Al-Riyadh,شمال الرياض,0507,AN-NADA,الندى,910.0,910.0,,,24.81514967,46.68309158
34,050655130061,Mosary Arena,اوز لاونج ( موساري),2.0,05,SHIMAL-Al-Riyadh,شمال الرياض,0506,AR-RABI,الربيع,780.0,780.0,,,24.79745519,46.67552344
42,051055140038,Woody park,حديقة وودي,2.0,05,SHIMAL-Al-Riyadh,شمال الرياض,0510,AN-NAFEL,النفل,768.0,768.0,,,24.77953652,46.68498954
68,120255140004,Chuck E. cheese,تشكي تشيز,5.0,12,AL-URAIJA,العريجاء,1202,WEST AL-ORAIJA,العريجاء الغربي,749.0,749.0,,,24.58461805,46.61667563
58,070855140032,Saffori Land,سفوري لاند,3.0,07,AR-RAWDAH,الروضة,0708,KING FAISAL,الملك فيصل,749.0,749.0,,,24.76907809,46.76400581
62,071455140006,Chuck E. cheese,تشكي تشيز,3.0,07,AR-RAWDAH,الروضة,0714,ASH-SHOHDA,الشهداء,606.0,606.0,,,24.77868453,46.73556319
56,070755140024,Fun Oasis,واحة المرح,3.0,07,AR-RAWDAH,الروضة,0707,AL-QUDS,القدس,463.0,463.0,,,24.75723831,46.7441564
14,011555140070,Sala City,سالا سيتي,1.0,01,AL-OLAYA,العليا,0115,KING ABDUL AZIZ,الملك عبدالعزيز,,,,,24.6957149,46.7282532
25,050155130065,Hupa Lupa,هوبا لوبا,2.0,05,SHIMAL-Al-Riyadh,شمال الرياض,0501,AL-QAIRAWAN,القيروان,,900.0,,,24.8416494,46.605895
