dbn,school_name,latitude,longitude,attendance_rate_hs,attendance_rate_k8,graduation_rate
21K620,William E. Grady Career and Technical Education High School,40.582585,-73.963477,,,
31R047,CSI High School for International Studies,40.581315,-74.158589,,,
02M420,High School for Health Professions and Human Services,40.732447,-73.983031,0.803,,0.962
10X342,International School for Liberal Arts,40.870293,-73.898309,0.889,0.979,0.796
17K408,Academy of Hospitality and Tourism,40.649787,-73.95855,0.82,,0.836
09X327,Comprehensive Model School Project M.S. 327,40.842495,-73.916082,0.814,0.877,0.879
02M412,N.Y.C. Lab School for Collaborative Studies,40.742129,-74.002198,0.964,,0.972
02M520,Murry Bergtraum High School for Business Careers,40.711442,-74.000851,0.913,,0.81
30Q502,Information Technology High School,40.748701,-73.94638,,,
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,40.887831,-73.852694,0.857,,0.795
10X546,Bronx Theatre High School,40.877105,-73.912256,0.873,,0.882
02M308,Lower Manhattan Arts Academy,40.717349,-73.989596,0.859,,0.803
32K545,EBC High School for Public Service - Bushwick,40.694507,-73.929107,,,
17K600,Clara Barton High School,40.669567,-73.961962,0.782,,0.759
27Q650,"High School for Construction Trades, Engineering and Architecture",40.689591,-73.840717,,,
20K609,Urban Assembly School for Criminal Justice,40.634875,-73.981528,,,
