osm_id,osm_type,name,name_en,place,admin_level,latitude,longitude
53447620,way,المنار,Al Manar,neighbourhood,,24.7250989,46.7975701
329088577,way,,,neighbourhood,,24.9063209,46.4348761
329088579,way,,,neighbourhood,,24.9042893,46.4314041
329088593,way,,,neighbourhood,,24.9126945,46.436316
329088594,way,,,neighbourhood,,24.9196576,46.4255208
329088595,way,,,neighbourhood,,24.9138666,46.4297096
329203398,way,اسكان الرياض,Riyadh housing,neighbourhood,,24.9692796,46.6197605
329964310,way,,,neighbourhood,,24.6182099,46.5392126
329992138,way,,,neighbourhood,11,24.658057,46.6429976
331516928,way,,,neighbourhood,,24.5103366,46.5283315
331516949,way,,,neighbourhood,,24.4886861,46.5465345
331530602,way,,,neighbourhood,,24.5115998,46.4559159
331530621,way,,,neighbourhood,,24.4882074,46.5185087
331530622,way,,,neighbourhood,,24.4826378,46.5390919
331544943,way,,,neighbourhood,,24.5590852,46.5110399
331557521,way,,,neighbourhood,,24.5171969,46.5713867
331878226,way,,,neighbourhood,,24.5236346,46.6557628
332014310,way,حي الإسكان,Askan 1,neighbourhood,,24.5195501,46.7345983
332014316,way,,Askan 3,neighbourhood,,24.5114826,46.7183205
332017166,way,,Askan 2,neighbourhood,,24.5322676,46.7458204
332170438,way,البجيري,Albujairi,neighbourhood,,24.7359848,46.5753721
384467052,way,,,neighbourhood,,24.6291971,46.5455077
385269959,way,,,neighbourhood,,24.8566401,46.6516256
509090912,way,,,neighbourhood,,24.5644335,46.5104892
509091048,way,,,neighbourhood,,24.7809571,46.5650762
558542796,way,,,neighbourhood,,24.5580455,46.5420353
558542799,way,,,neighbourhood,,24.5651356,46.532624
558542801,way,,,neighbourhood,,24.571106,46.5305992
558542805,way,,,neighbourhood,,24.5655559,46.5277324
558542806,way,,,neighbourhood,,24.5591874,46.5172796
558542807,way,,,neighbourhood,,24.5594331,46.5221598
558542809,way,,,neighbourhood,,24.5594411,46.5271444
558542810,way,,,neighbourhood,,24.5654569,46.5208787
558587295,way,,,neighbourhood,,25.1129733,46.3625392
558587365,way,,,neighbourhood,,24.8411922,46.5909932
558587440,way,,,neighbourhood,,24.8685923,46.6559561
558642967,way,,,neighbourhood,,24.9418934,46.8421233
558643129,way,,,neighbourhood,,24.8488831,46.8673244
595948255,way,,,neighbourhood,,24.811713,46.8584709
595958271,way,,,neighbourhood,,24.6848288,46.8703681
636252484,way,,,neighbourhood,,24.7459913,46.5273818
636252486,way,,,neighbourhood,,24.7491674,46.5244156
636252488,way,,,neighbourhood,,24.7496788,46.5285816
636252504,way,,,neighbourhood,,24.7485955,46.5331702
636252505,way,,,neighbourhood,,24.746315,46.5324268
636252625,way,,,neighbourhood,,24.8489924,46.5859315
636417334,way,,,neighbourhood,,24.6943559,46.8014084
636433846,way,,,neighbourhood,,24.6130996,46.7436576
636444372,way,حي الملك فيصل,King Faisal District,suburb,,24.7616872,46.7746681
636659064,way,,Ghusaybah District in ad-Dir'iyah,neighbourhood,,24.7414051,46.5678186
636713280,way,,,neighbourhood,11,24.5793537,46.6239382
636713281,way,,,neighbourhood,11,24.5748704,46.6145003
636713285,way,,,neighbourhood,11,24.5712478,46.6299183
636713287,way,,,neighbourhood,11,24.5688112,46.622665
636713288,way,,,neighbourhood,11,24.5644671,46.6373753
636713313,way,,,neighbourhood,11,24.5875122,46.632142
636713315,way,,,neighbourhood,11,24.5934904,46.6418407
636724123,way,,,neighbourhood,11,24.5970999,46.6533665
636724134,way,,,neighbourhood,11,24.6032666,46.6629406
636758853,way,,,neighbourhood,,24.658996,46.6502953
636778526,way,,,neighbourhood,11,24.6981526,46.622903
638013451,way,,,neighbourhood,11,24.6704238,46.8611368
638013455,way,,,neighbourhood,11,24.6756639,46.8647348
638013456,way,,,neighbourhood,11,24.6754054,46.8740093
638013457,way,,,neighbourhood,11,24.673482,46.8801921
638013460,way,,,neighbourhood,11,24.6714712,46.8733397
638013461,way,,,neighbourhood,11,24.6661134,46.8791453
638013462,way,,,neighbourhood,11,24.6649023,46.8742103
638013465,way,,,neighbourhood,11,24.669256,46.8657573
