SIGNNAME,BOROUGH,CLASS,ACRES,latitude,longitude
Isle Of Meadows,R,PARK,87.516,40.576266744451964,-74.20338144201247
Staten Island Industrial Park,R,PARK,210.928,40.61258500658497,-74.17401131402454
Brooklyn Botanic Garden,B,PARK,47.57,40.66771924594697,-73.96387006117146
Andrews Grove,Q,PARK,0.518,40.74338292382569,-73.95481811826573
Soundview Park,X,PARK,269.415,40.81157061002312,-73.86621680157572
Park,X,PARK,0.102,40.8237848663753,-73.87392095376401
King Fisher Park,R,PARK,23.01,40.562373480869226,-74.15092747844034
Rockaway Beach,Q,PARK,166.71,40.56986425708753,-73.85220981676567
Seaside Wildlife Nature Park,R,PARK,20.907,40.54013312543176,-74.14177059782031
Allen Street Malls,M,PARK,1.698,40.71845206034903,-73.99076302219078
Rory Staunton Field,Q,PARK,0.574,40.75400671833442,-73.88840208233046
Andries Playground,B,PARK,0.964,40.622833262328136,-73.9464552619205
Park,Q,PARK,0.082,40.66539671882019,-73.84022236694389
Nassau Mall South,Q,PARK,0.834,40.76314611789695,-73.72609817074537
Davidson Ave. Community Gardeners Group,X,PARK,0.115,40.86420999202727,-73.90084886346668
Tompkinsville Park,R,PARK,0.424,40.637438200713994,-74.07639193256502
Park,X,PARK,0.038,40.84400796653831,-73.89399911937825
Sunset Cove Park,Q,PARK,9.375,40.59853006268297,-73.82299508821397
Remsen Family Cemetery,Q,PARK,0.247,40.712327469703666,-73.8584793043198
Riverdale Park,X,PARK,144.29,40.89262513832379,-73.91938792056777
Harvey Park,Q,PARK,9.154,40.78345587379858,-73.82343359832429
Little Bay Park,Q,PARK,55.22,40.790090183966015,-73.78792181066208
Hope Garden,M,PARK,0.046,40.72207760938855,-73.98418501065083
Sorrentino Recreation Center,Q,PARK,0.231,40.602429361609964,-73.75135636192765
Hammel Playground,Q,PARK,1.03,40.58820285797539,-73.8093741492196
Mall Eighteen,Q,PARK,0.09,40.783226733565805,-73.84177031139772
Park,Q,PARK,0.02,40.75879589967179,-73.73708919569587
Martinez Playground,B,PARK,1.373,40.70907217954435,-73.94460267227743
LaGuardia Landing Lights,Q,PARK,1.754,40.76343778539841,-73.88918939232886
LaGuardia Landing Lights,Q,PARK,1.473,40.76214613375743,-73.88992761726855
Park Avenue Malls,M,PARK,4.623,40.77533292299315,-73.96073827553533
Baruch Playground,M,PARK,2.32,40.71730558936888,-73.97682303263971
Parade Ground,B,PARK,39.5,40.65077376470894,-73.96851804557095
Marcy Park South,B,PARK,0.357,40.70750270976722,-73.9580417697873
Quarry Ballfields,X,PARK,4.417,40.850865160968745,-73.89085945452392
Harlem RBI,M,PARK,0.9,40.78666077937639,-73.94386130397046
Jaime Campiz Playground,B,PARK,0.752,40.713542537423,-73.95437736335431
Spargo Park,Q,PARK,0.375,40.741372494427424,-73.8972706812264
Bayview Terrace Park,R,PARK,16.944,40.52569740986923,-74.16367120089242
Slattery Playground,X,PARK,0.911,40.85730590130655,-73.89848043459956
Emerald Playground,Q,PARK,1.265,40.731014699732334,-73.8059666710548
Glenwood Landing,Q,PARK,0.3,40.77509453902635,-73.73997341607483
Utopia Playground,Q,PARK,2.98,40.73072572957848,-73.7927763200223
Fowler Square,B,PARK,0.004,40.68695646740736,-73.97570453280477
Park,Q,PARK,0.023,40.7578139752766,-73.73868210343244
Poppenhusen Park,Q,PARK,0.05,40.78786077931592,-73.84582117378022
Van Cortlandt Park,X,PARK,"1,146.43",40.897109855390916,-73.88666482488817
