id,latitude,longitude,price,room_type,neighbourhood_cleansed,neighbourhood_group_cleansed
872684583358280151,40.876955170157416,-73.85623522102833,,Private room,Williamsbridge,Bronx
872955687554776108,40.7190991,-73.9572522,,Entire home/apt,Williamsburg,Brooklyn
873038476887648108,40.68741155400251,-73.91889360010832,,Private room,Bedford-Stuyvesant,Brooklyn
873042603262132939,40.7649385,-73.87435339999999,,Private room,East Elmhurst,Queens
873085539866772060,40.68947,-73.92086,,Private room,Bushwick,Brooklyn
873086414676039507,40.69804120927054,-73.92842992920049,,Entire home/apt,Bushwick,Brooklyn
873101518537780650,40.68791618740381,-73.9207343250374,,Private room,Bedford-Stuyvesant,Brooklyn
873110287064843178,40.66402374072115,-73.94401922821999,,Entire home/apt,Prospect-Lefferts Gardens,Brooklyn
875426090400369943,40.64953210373316,-73.94090317025343,,Private room,East Flatbush,Brooklyn
875461933837332140,40.68878,-73.77906,,Private room,Jamaica,Queens
875491191200426915,40.73779,-73.97387,,Private room,Kips Bay,Manhattan
