dbn,school_name,latitude,longitude,finalgrades
29Q492,"Mathematics, Science Research and Technology Magnet High School",40.697819,-73.745728,9 to 12
18K576,Victory Collegiate High School,40.633285,-73.916735,9 to 12
02M551,Urban Assembly New York Harbor School,40.701695,-74.011631,9 to 12
13K430,Brooklyn Technical High School,40.688834,-73.976905,9 to 12
19K583,Multicultural High School,40.691146,-73.868328,9 to 12
08X452,Gotham Collaborative High School,40.82229,-73.856167,9 to 12
29Q327,Eagle Academy for Young Men III,40.691712,-73.778923,6 to 12
05M157,The Urban Assembly School for Global Commerce,40.807383,-73.939433,9 to 12
08X530,Longwood Preparatory Academy,40.817512,-73.898212,9 to 12
31R064,Gaynor McCown Expeditionary Learning School,40.581315,-74.158589,9 to 12
07X527,Bronx Leadership Academy II High School,40.82231,-73.923829,9 to 12
14K685,El Puente Academy for Peace and Justice,40.705898,-73.955611,9 to 12
01M448,University Neighborhood High School,40.712399,-73.984497,9 to 12
17K531,The School for Human Rights,40.658893,-73.942458,9 to 12
21K540,John Dewey High School,40.589268,-73.981738,9 to 12
03M417,Frank McCourt High School,40.785803,-73.974614,9 to 12
12X251,Explorations Academy H.S.,40.8359,-73.890458,9 to 12
21K344,Rachel Carson High School for Coastal Studies,40.582533,-73.973132,9 to 12
19K510,World Academy for Total Community Health High School (WATCH),40.667456,-73.894747,9 to 12
14K454,The Williamsburg High School of Art and Technology,40.709941,-73.943641,9 to 12
02M047,47 The American Sign Language and English Secondary School,40.738548,-73.982455,9 to 12
15K463,Cyberarts Studio Academy,40.669629,-73.979287,9 to 12
02M546,Academy for Software Engineering (AFSE),40.735494,-73.987659,9 to 12
28Q440,Forest Hills High School,40.729402,-73.845637,9 to 12
17K547,Brooklyn Academy of Science and the Environment (BASE),40.670349,-73.961695,9 to 12
04M555,Central Park East High School,40.793763,-73.949381,9 to 12
11X542,Pelham Preparatory Academy,40.859665,-73.861006,9 to 12
28Q505,Hillcrest High School,40.709446,-73.80166,9 to 12
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",40.697339,-73.985016,9 to 12
27Q323,Scholars' Academy,40.584109,-73.825711,6 to 12
06M463,High School for Media and Communications,40.855855,-73.92712,9 to 12
24Q299,Bard High School Early College Queens,40.745095,-73.936635,9 to 12
20K485,High School of Telecommunication Arts and Technology,40.637282,-74.023849,9 to 12
17K122,Pathways in Technology Early College High School (P-TECH),40.675612,-73.938843,9 to 14
25Q285,World Journalism Preparatory: A College Board School,40.765133,-73.790083,6 to 12
02M408,Professional Performing Arts High School (PPAS),40.761448,-73.988019,6 to 12
02M425,Leadership and Public Service High School,40.70873,-74.012332,9 to 12
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),40.888338,-73.913486,6 to 12
29Q272,George Washington Carver High School for the Sciences,40.668235,-73.756839,9 to 12
19K659,Cypress Hills Collegiate Preparatory School,40.691146,-73.868328,9 to 12
03M307,The Urban Assembly School for Media Studies,40.774351,-73.984753,9 to 12
32K552,The Academy of Urban Planning and Engineering,40.697185,-73.91117,9 to 12
11X288,Collegiate Institute for Math and Science (CIMS),40.859665,-73.861006,9 to 12
30Q575,Academy of American Studies,40.751331,-73.937434,9 to 12
17K751,Academy for Health Careers,40.675612,-73.938843,9 to 12
02M374,Gramercy Arts High School,40.735494,-73.987659,9 to 12
09X227,Bronx Collegiate Academy,40.840422,-73.91091,9 to 12
10X264,Bronx Academy for Software Engineering (BASE),40.855698,-73.882715,9 to 12 - This school is expanding to serve grades 9 to 14 in the 2023-2024 school year.
02M416,Eleanor Roosevelt High School,40.770187,-73.953608,9 to 12
05M369,Urban Assembly School for the Performing Arts,40.815256,-73.955325,9 to 12
13K670,Benjamin Banneker Academy,40.695332,-73.969243,9 to 12
15K592,Khalil Gibran International Academy,40.686499,-73.979649,9 to 12
11X508,Bronxdale High School,40.859665,-73.861006,9 to 12
27Q262,Channel View School for Research,40.586066,-73.822624,6 to 12
02M615,Chelsea Career and Technical Education High School,40.7244,-74.004625,9 to 12
06M293,City College Academy of the Arts,40.86079,-73.930672,6 to 12
24Q236,International High School for Health Sciences,40.741122,-73.874721,9 to 12
23K493,Brooklyn Collegiate: A College Board School,40.674103,-73.913273,9 to 12
18K642,Urban Action Academy,40.641474,-73.898254,9 to 12
13K499,ACORN Community High School,40.678488,-73.962105,9 to 12
09X525,Bronx Leadership Academy High School,40.843588,-73.903236,9 to 12
30Q450,Long Island City High School,40.765826,-73.9328,9 to 12
02M260,The Clinton School,40.736518,-73.992725,6 to 12
29Q243,Institute for Health Professions at Cambria Heights,40.697819,-73.745728,9 to 12
02M531,Repertory Company High School for Theatre Arts,40.755843,-73.984382,9 to 12
26Q430,Francis Lewis High School,40.740724,-73.79283,9 to 12
10X351,Bronx Collaborative High School,40.882178,-73.88691,9 to 12
32K168,The Brooklyn School for Math and Research,40.697185,-73.91117,9 to 12
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",40.810803,-73.907015,9 to 14
