dbn,school_name,latitude,longitude,finalgrades
07X551,The Urban Assembly Bronx Academy of Letters,40.813641,-73.925313,6 to 12
18K617,High School for Innovation in Advertising and Media,40.641474,-73.898254,9 to 12
12X242,Mott Hall V,40.831416,-73.877785,6 to 12
16K765,Nelson Mandela High School,40.67944,-73.932407,9 to 12
02M407,Institute for Collaborative Education (ICE),40.732447,-73.983031,6 to 12
31R440,New Dorp High School,40.569393,-74.107737,9 to 12
03M402,The Urban Assembly School for Green Careers,40.785803,-73.974614,9 to 12
29Q265,Excelsior Preparatory High School,40.668235,-73.756839,9 to 12
02M288,Food and Finance High School,40.76525,-73.993105,9 to 12
28Q620,Thomas A. Edison Career and Technical Education High School,40.715389,-73.800369,9 to 12
02M533,Union Square Academy for Health Sciences,40.735494,-73.987659,9 to 12
21K559,Life Academy High School for Film and Music,40.594291,-73.98577,9 to 12
09X297,Morris Academy for Collaborative Studies,40.827642,-73.904473,9 to 12
02M507,Urban Assembly Gateway School for Technology,40.76337,-73.9906,9 to 12
24Q455,Newtown High School,40.741122,-73.874721,9 to 12
14K478,"The High School for Enterprise, Business and Technology",40.712184,-73.939722,9 to 12
10X477,Marble Hill High School for International Studies,40.877105,-73.912256,9 to 12
25Q425,John Bowne High School,40.738139,-73.824944,9 to 12
04M610,Young Women's Leadership School (TYWLS),40.792741,-73.947428,6 to 12
09X568,Young Women's Leadership School of the Bronx (TYWLS),40.848547,-73.908416,6 to 12
11X249,Bronx Health Sciences High School,40.874091,-73.833904,9 to 12
30Q555,Newcomers High School,40.751356,-73.937445,9 to 12
10X374,Knowledge and Power Preparatory Academy International High School (KAPPA),40.860043,-73.888267,9 to 12
07X495,University Heights Secondary School,40.81825,-73.91103,9 to 12
13K412,Brooklyn Community Arts & Media High School (BCAM),40.692642,-73.958794,9 to 12
17K745,Brooklyn Institute for Liberal Arts (BILA),40.658893,-73.942458,9 to 12
31R605,Staten Island Technical High School,40.567873,-74.115373,9 to 12
03M860,Frederick Douglass Academy II Secondary School,40.802207,-73.954142,6 to 12
28Q325,Hillside Arts & Letters Academy,40.713218,-73.797237,9 to 12
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",40.694926,-73.986015,9 to 14
27Q302,"Queens High School for Information, Research, and Technology",40.60201,-73.762795,9 to 12
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,40.773629,-73.985273,9 to 12
02M135,The Urban Assembly School for Emergency Management,40.711442,-74.000851,9 to 12
15K429,Digital Arts and Cinema Technology High School,40.685419,-73.993351,9 to 12
