district_ar_norm,district_lat,district_lon,district_ar
السفارات,24.677388116666666,46.62402176999999,السفارات
الشرفية,24.65503800666667,46.67103816,الشرفية
عتيقة,24.603935014545456,46.70922867272727,عتيقة
الديرة,24.6338551125,46.713504925,الديرة
العزيزية,24.5883077512,46.764854146400005,العزيزية
سكيرينة,24.62011152,46.71758259,سكيرينة
جرير,24.676378063999998,46.748052214,جرير
الوشام,24.63850785,46.693192945,الوشام
الضباط,24.68141278181818,46.72139440666667,الضباط
الورود,24.722765518333333,46.678958371111115,الورود
الفلاح,24.79785341264706,46.70573719529412,الفلاح
